,Train,Validation,Test
accuracy,1.0,0.9936102236421726,0.9776984834968778
balanced_accuracy,1.0,0.9906542056074766,0.9774047186932849
precision,1.0,1.0,0.9943609022556391
recall,1.0,0.9813084112149533,0.9600725952813067
specificity,1.0,1.0,0.9947368421052631
f1,1.0,0.9905660377358491,0.976915974145891
roc_auc,1.0,0.9970057163596769,0.9884388830515489
pr_auc,1.0,0.9954267662047048,0.9907672864238329
mcc,1.0,0.985836068225752,0.9559088153412773
