face_present,no_of_face,face_x,face_y,face_w,face_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_tip_x,nose_tip_y,mouth_x,mouth_y,face_conf,hand_count,left_hand_x,left_hand_y,right_hand_x,right_hand_y,hand_obj_interaction,head_pose,head_pitch,head_yaw,head_roll,phone_present,phone_loc_x,phone_loc_y,phone_conf,gaze_on_script,gaze_direction,gazePoint_x,gazePoint_y,pupil_left_x,pupil_left_y,pupil_right_x,pupil_right_y,label
1,1,269.0,210.0,157.0,157.0,311.9908618927002,241.33671909570694,384.5840358734131,244.18501496315002,345.8391571044922,261.974573135376,342.19014719912883,308.35312542162444,91.48547649383545,0,0,0,0,0,0,down,0.28590670622810843,0.06079704230344801,0.04679416062737792,1,231,239,0.8685312867164612,0,None,348,242,311.99950408935547,241.06667804718018,385.5554733276367,243.71660614013672,0
1,1,266.0,212.0,159.0,159.0,309.1346561908722,240.3481087088585,384.08358812332153,243.60453486442566,347.1786880493164,261.40740394592285,345.4269017671284,311.89380244204875,95.32407522201538,0,0,0,0,0,0,down,0.292801579547642,-0.018985867017630914,0.029655885330511268,1,226,240,0.8968093991279602,0,None,345,241,306.97261810302734,239.9944610595703,384.29396057128906,243.33960342407227,0
1,1,265.0,209.0,161.0,161.0,311.1252951622009,241.4326313138008,384.2064356803894,244.43436920642853,348.9305114746094,259.7922134399414,346.30633303993625,309.36476205524644,95.43487429618835,0,0,0,0,0,0,down,0.31248155040852904,-0.0273943527712352,0.03911156094959019,1,226,239,0.8811104893684387,0,top_left,347,242,310.67012786865234,240.99958419799805,385.0365753173828,244.05775451660156,0
1,1,266.0,209.0,159.0,159.0,311.46462321281433,240.05817890167236,383.595666885376,244.10028755664825,348.5133361816406,260.79626083374023,344.9360034340306,311.01313139262953,94.64607834815979,0,0,0,0,0,0,down,0.27919901330163316,-0.04080607293598335,0.05325095695714676,1,226,239,0.8896722197532654,0,top_left,347,241,310.4753074645996,239.47729969024658,383.79229736328125,243.69366645812988,0
1,1,264.0,207.0,161.0,161.0,312.83108592033386,238.67660075426102,382.13526725769043,242.66030341386795,348.03016662597656,260.3000736236572,345.3906229922646,309.237554951718,94.34599280357361,0,0,0,0,0,0,forward,0.25606058373688007,-0.05734351021046097,0.04725638344364952,1,225,240,0.8547347784042358,0,top_left,347,239,313.50110626220703,237.99749565124512,382.3393020629883,241.82669734954834,0
1,1,266.0,208.0,159.0,159.0,312.4672782421112,239.0400391817093,383.7355065345764,243.82916539907455,347.39063262939453,261.7352771759033,344.78370666503906,310.43001576473836,94.31244134902954,0,0,0,0,0,0,forward,0.2569087412882767,0.01020891576429246,0.0496576736610919,1,226,239,0.8450924158096313,0,None,348,240,313.0277442932129,238.51684856414795,383.6863784790039,243.34617805480957,0
1,1,264.0,209.0,163.0,163.0,310.1813066005707,239.20672595500946,383.68138551712036,243.476842045784,347.40394592285156,258.8996887207031,345.3609787790399,310.32294574536775,94.90511417388916,0,0,0,0,0,0,down,0.3254832812401849,-0.024324365234127617,0.04459472180626999,1,226,240,0.8521185517311096,0,top_left,346,241,309.7013244628906,238.9421911239624,383.52892303466797,243.18023300170898,0
1,1,266.0,210.0,160.0,160.0,311.25401616096497,240.55104553699493,382.9716944694519,243.72515201568604,346.20094299316406,261.22352600097656,343.3814942209344,312.33970039769224,95.42022943496704,0,0,0,0,0,0,down,0.29022878845893874,0.02144445126206926,0.03711689917941906,1,226,239,0.8616418242454529,0,None,346,241,310.5885124206543,239.9853172302246,383.41119384765625,243.1150302886963,0
1,1,263.0,208.0,162.0,162.0,311.90011382102966,237.68134653568268,383.1449007987976,243.48230212926865,345.99742889404297,259.3373107910156,342.9950031481291,310.2829727373625,95.5656111240387,0,0,0,0,0,0,down,0.2849840100031725,0.01461846181282326,0.06324300406978686,1,226,240,0.8471243381500244,0,None,347,240,311.7284812927246,237.11248683929443,383.2593994140625,242.93292331695557,0
1,1,263.0,210.0,160.0,160.0,308.4695792198181,238.2270124554634,380.17624378204346,242.92718768119812,342.89905548095703,262.21381187438965,339.71322109824735,312.0474167873985,95.08059620857239,0,0,0,0,0,0,forward,0.2260814663814413,0.010659268659299564,0.05345169044757553,1,225,240,0.858532190322876,0,None,343,240,307.7817802429199,237.68320655822754,380.0586471557617,242.41231727600098,0
1,1,264.0,209.0,160.0,160.0,307.57025361061096,238.12794148921967,380.3271245956421,241.39571249485016,343.02974700927734,260.04838943481445,340.8416717930844,307.99836911653216,94.23540830612183,0,0,0,0,0,0,forward,0.2502845671004927,0.017848573109004506,0.036508621917153365,1,222,240,0.8353171944618225,0,None,343,239,306.6680450439453,237.46358013153076,380.4684066772461,240.75486946105957,0
