face_present,no_of_face,face_x,face_y,face_w,face_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_tip_x,nose_tip_y,mouth_x,mouth_y,face_conf,hand_count,left_hand_x,left_hand_y,right_hand_x,right_hand_y,hand_obj_interaction,head_pose,head_pitch,head_yaw,head_roll,phone_present,phone_loc_x,phone_loc_y,phone_conf,gaze_on_script,gaze_direction,gazePoint_x,gazePoint_y,pupil_left_x,pupil_left_y,pupil_right_x,pupil_right_y,label
1,1,204.0,168.0,232.0,232.0,275.59934854507446,232.97186136245728,372.9392528533936,235.18431276082995,329.10675048828125,285.1556968688965,322.8611494365491,334.7895752756219,94.525545835495,0,0.0,0.0,0.0,0.0,0,forward,-0.0908863902746935,-0.1096726932739386,0.0200189428030251,1,286,237,0.6404401063919067,0,,318,232,268.3898048400879,231.89507961273196,368.5975646972656,234.06061935424805,0
1,1,203.0,168.0,233.0,233.0,275.511326789856,231.01303607225415,372.4934673309326,233.70575219392776,329.09557342529297,283.9130973815918,322.71249469957854,337.2676548204924,95.07315754890442,0,0.0,0.0,0.0,0.0,0,forward,-0.0644348381224169,-0.1162715280204692,0.021814699577867,1,294,238,0.7215327620506287,0,,318,231,268.588680267334,229.74524402618408,368.3857955932617,232.33018398284912,0
1,1,202.0,167.0,234.0,234.0,276.57598853111267,231.00255489349365,372.7302193641663,233.5550764203072,330.4531478881836,283.762321472168,323.80219710500614,336.2693053797672,94.65775489807127,0,0.0,0.0,0.0,0.0,0,forward,-0.0637554676940004,-0.1343475173219083,0.0211558450502438,1,298,238,0.6788085103034973,0,,320,231,270.9768829345703,229.86960983276367,369.1667175292969,232.2839241027832,0
1,1,200.0,166.0,238.0,238.0,274.72062826156616,230.38679122924805,373.62991094589233,233.51008415222168,329.59827423095703,283.31193923950195,323.7098764118396,335.468423742997,94.30463910102844,0,0.0,0.0,0.0,0.0,0,forward,-0.0838235776033976,-0.1073480036625339,0.0186953098599539,1,285,237,0.6789653301239014,0,,318,230,267.98157501220703,229.24678230285645,369.9259719848633,232.3798484802246,0
1,1,201.0,168.0,234.0,234.0,275.7869231700897,230.59854179620743,372.8204894065857,233.7504869699478,329.7171401977539,284.1471004486084,323.5101549248946,336.01951548927707,94.8648452758789,0,0.0,0.0,0.0,0.0,0,forward,-0.0811390013066338,-0.1209800068490918,0.0223898145075352,1,289,237,0.7389508485794067,0,,319,231,269.2584762573242,229.423490524292,369.69701385498047,232.60787773132324,0
1,1,201.0,167.0,235.0,235.0,275.52077770233154,230.26620626449585,373.26499462127686,233.21278631687164,329.8224258422852,283.18814277648926,323.03991920069643,335.2695645784077,94.60627436637878,0,0.0,0.0,0.0,0.0,0,forward,-0.0699744679687887,-0.1337160678997732,0.0265400966909427,1,291,238,0.7428296208381653,0,,319,230,269.7478485107422,229.1293172836304,370.0683135986328,232.04390716552732,0
1,1,202.0,167.0,235.0,235.0,275.8379113674164,231.36314928531647,373.4708905220032,234.3959891796112,330.2136993408203,283.56030464172363,323.6746657522101,336.45632894415604,94.9173867702484,0,0.0,0.0,0.0,0.0,0,forward,-0.067840584406424,-0.1132123107474229,0.0224259955585232,1,286,237,0.7331462502479553,0,,319,231,269.4472961425781,230.0682020187378,369.6167678833008,233.0466270446777,0
1,1,202.0,168.0,235.0,235.0,277.0440125465393,231.16147220134732,374.4214820861816,234.23189789056775,330.3424453735352,284.61902618408203,324.4053037543046,337.5860942037482,95.1172173023224,0,0.0,0.0,0.0,0.0,0,forward,-0.0754412035921875,-0.1039647369507682,0.0216711198134515,1,292,237,0.7537407279014587,0,,320,231,270.00297927856445,229.8776922225952,370.4381103515625,232.84722232818604,0
1,1,204.0,169.0,233.0,233.0,277.0813488960266,231.98238104581836,374.1526770591736,234.74821865558624,330.84667205810547,283.4332752227783,324.6236068324039,337.4482907746968,94.4146990776062,0,0.0,0.0,0.0,0.0,0,forward,-0.0477515420212306,-0.1142072267162743,0.0234131455600049,1,298,237,0.7435985207557678,0,top_left,320,232,271.78294372558594,231.0438766479492,370.1834716796875,233.65436267852783,0
1,1,200.0,166.0,237.0,237.0,280.32036662101746,233.32537561655045,374.9786758422852,236.460235118866,331.84444427490234,285.1859664916992,325.1353625247353,338.8514915265535,95.4866349697113,0,0.0,0.0,0.0,0.0,0,forward,-0.0379935371582978,-0.1239077782591115,0.0322124534667502,1,286,238,0.7101042866706848,0,top_left,326,234,279.09678649902344,233.03857040405276,374.3624420166016,235.92107105255127,0
1,1,202.0,167.0,236.0,236.0,281.56569361686707,234.0165039896965,374.39140796661377,237.58334666490555,333.70235443115234,284.8832702636719,326.04291614733245,337.8995328200491,94.59229111671448,0,0.0,0.0,0.0,0.0,0,forward,-0.0261975527375206,-0.1570551551215709,0.034858892666734,1,298,237,0.7018746733665466,0,top_left,327,235,281.472900390625,233.88545894622803,373.4522857666016,237.1971559524536,0
1,1,201.0,167.0,237.0,237.0,280.3622376918793,231.62999957799911,375.2798080444336,234.84854221343997,333.0060577392578,283.0865478515625,326.0983718068976,336.30526241503264,94.61353421211244,0,0.0,0.0,0.0,0.0,0,forward,-0.0354668670774081,-0.135178262983107,0.033279864865514,1,292,236,0.7302581667900085,0,top_left,326,232,279.2874755859375,231.1911849975586,373.77379608154297,234.1738042831421,0
1,1,201.0,166.0,238.0,238.0,280.5616056919098,229.8578488826752,375.1386451721192,233.43104481697085,332.3810577392578,284.6580505371094,325.63084652549344,336.4726819490132,94.17662024497986,0,0.0,0.0,0.0,0.0,0,forward,-0.0624745000858307,-0.1288418636841251,0.0326590465328834,1,301,237,0.631755530834198,0,,325,230,277.8695068359375,228.42670440673828,373.9552688598633,232.03147315979004,0
1,1,200.0,165.0,240.0,240.0,279.42254304885864,229.14352118968964,375.4933714866638,232.5036209821701,332.2962951660156,283.80964279174805,324.7201758936832,336.3882712314003,94.51624751091003,0,0.0,0.0,0.0,0.0,0,forward,-0.0598058475551528,-0.152154115399639,0.0378716533263612,1,304,238,0.6600989699363708,0,,325,229,276.7254676818848,227.4682102203369,374.1393051147461,230.83943367004397,0
1,1,201.0,167.0,238.0,238.0,281.3446068763733,232.91283130645752,374.8873972892761,237.12769031524655,331.4957427978516,284.3385314941406,324.7360781619423,336.792116667095,93.9186155796051,0,0.0,0.0,0.0,0.0,0,forward,-0.0340862328253302,-0.1099063514247635,0.0414887087942353,1,301,238,0.7093233466148376,0,top_left,328,234,281.4835624694824,232.81617164611816,375.4312973022461,236.9828052520752,0
1,1,202.0,166.0,236.0,236.0,281.5596985816956,233.8892617821693,373.5470342636109,235.97089916467667,332.0671081542969,285.1102066040039,325.4633451762952,335.81286831905965,94.19293403625488,0,0.0,0.0,0.0,0.0,0,forward,-0.0519160596776884,-0.1376626031978176,0.0276180565433682,1,296,238,0.6245297789573669,0,,327,234,282.13755798339844,233.7731637954712,373.36727142333984,235.61116790771484,0
1,1,201.0,167.0,236.0,236.0,281.823205947876,233.03741455078125,374.77879762649536,236.88489139080048,332.4967575073242,285.0043201446533,325.5525639182643,336.91188059355085,94.22823190689088,0,0.0,0.0,0.0,0.0,0,forward,-0.0413611096877048,-0.1243522554387627,0.0395006789400681,1,305,238,0.660307765007019,0,top_left,327,234,281.01799392700195,232.68592071533203,373.80855560302734,236.38421630859372,0
1,1,199.0,166.0,242.0,242.0,282.5565755367279,233.3201104402542,375.3797745704651,236.91929697990415,332.1818923950196,284.7098636627197,325.44784646285206,335.92331283970884,93.71783137321472,0,0.0,0.0,0.0,0.0,0,forward,-0.0454922825483593,-0.1067758717946088,0.0381970419726478,1,302,237,0.56931471824646,0,top_left,329,234,282.1333656311035,232.8841781616211,376.1483917236328,236.4481315612793,0
1,1,203.0,168.0,235.0,235.0,282.5764787197113,233.21774750947952,375.81428050994873,237.32051253318787,332.7437210083008,284.43652153015137,325.8077651575992,336.8277635072407,94.16760206222534,0,0.0,0.0,0.0,0.0,0,forward,-0.0368145664527774,-0.1147396428890105,0.0418475541296575,1,291,238,0.5868107080459595,0,top_left,328,234,282.44561767578125,232.9126710891724,375.3950805664063,236.8465175628662,0
1,1,202.0,169.0,236.0,236.0,282.8655254840851,233.89104276895523,377.23762035369873,238.1565937399864,333.47103118896484,285.281925201416,326.44089949758427,336.9720162843403,93.2409942150116,0,0.0,0.0,0.0,0.0,0,forward,-0.0459250766329051,-0.1050996496615119,0.0434971469679823,1,297,238,0.7233067750930786,0,top_left,331,235,284.13885498046875,233.43061351776123,378.5421371459961,237.6009864807129,0
1,1,203.0,170.0,235.0,235.0,283.4135043621063,233.38605970144272,377.6703953742981,237.7735322713852,334.60941314697266,284.3490028381348,326.4072177284642,337.2845122688695,94.0983772277832,0,0.0,0.0,0.0,0.0,0,forward,-0.0304077909031939,-0.1356335598670757,0.0499267000067542,1,306,238,0.6510676145553589,0,top_left,331,235,284.4871025085449,233.0606174468994,378.5730743408203,237.24698066711423,0
